T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
21.5,24.8,14.4,1010.2,37,29.9,7.2,7.2,0
19.8,25,7.5,1011.4,52,29.9,6.5,7.2,0
16.8,23.6,6,1014.3,62,29.9,6.3,10.7,0
20.2,23,12,1012.4,58,29.9,6.3,10.7,0
19.4,24,9.6,1012.5,53,29,5.4,10.7,0
20.3,27,8.6,1011.2,47,29.9,7.2,10.7,0
21.1,27,8.8,1007.5,44,29.9,8.1,10.7,0
20.7,26.4,8.1,1009.9,43,29.9,6.3,7.2,0
21.9,28.8,8.6,1009.5,37,29.9,9.4,14.4,0
22.9,28,11.5,1007.2,42,29.9,7.2,10.7,0
23.6,28.6,13,1007.7,40,29.9,9.8,14.4,0
22.2,27.4,9.7,1008.7,38,29.9,7.2,10.7,0
22.8,28.2,11.7,1008.4,41,27,9.1,14.4,0
24.4,30,12.2,1007.2,26,29.9,7.2,7.2,0
25.9,30.2,14.2,1005.1,27,29.9,8.7,14.4,0
23.4,28.4,16.5,1007.2,43,29.9,6.3,7.2,0
26,31,17.2,1004.6,29,29.9,8.7,14.4,0
25.8,29.8,14,1004.2,27,29.9,8.7,14.4,0
24.6,29,16.5,1006.8,40,29.9,8.1,10.7,0
24.7,29.4,12.5,1006.6,26,29.9,8.1,10.7,0
24.5,29.8,13,1007.2,28,29.9,7.2,14.4,0
22.2,25.4,15.5,1010.7,66,28.8,6.3,7.2,0
22.5,27.6,15.5,1009,62,29.9,5.4,7.2,0
20.2,22.8,15.4,1010.6,75,29.9,7.2,7.2,0
23.1,27.4,17.4,1008.8,61,29,6.5,7.2,0
23.3,28.4,14.5,1007.6,56,29,7.2,7.2,0
22.9,28.4,17,1008.7,61,29.9,7.2,14.4,0
23.7,28.8,18,1007.9,55,29.9,6.3,7.2,0
21.6,25.8,14.5,1009.7,69,29.9,5.7,7.2,0
20.6,24.6,17,1010.4,76,29.9,5,7.2,0
20.9,24,17.2,1009.8,72,29,8.1,10.7,0
22.7,24.6,13,1010.2,63,29.9,9.1,14.4,0
22.8,25.2,16.5,1011.2,61,29.9,8.1,14.4,0
21.8,26,15,1010.2,70,29.9,6.3,7.2,0
21.5,25.2,15,1009.9,66,29.9,7.2,7.2,0
19.8,24,15.5,1012.3,80,26.1,6.5,14.4,0
20.7,24,15,1012.1,72,29.9,6.3,7.2,0
20.4,23.4,15.6,1011.1,77,29.9,7.2,7.2,0
21.2,23.6,14.6,1010.5,73,28.8,7.2,7.2,0
20.6,25.6,14.6,1010.9,73,29.9,7.2,7.2,0
20.6,24.6,15.5,1012,70,26.1,6.5,7.2,0
21.2,25.2,15.6,1009.7,74,29.9,8,14.4,0
20.7,24.8,14.5,1011.4,67,29.9,6.5,7.2,0
20.8,26,14.4,1011,73,29.9,7.2,7.2,0
21.5,25,14.5,1011.3,69,29.9,6.3,7.2,0
19.9,22.4,13,1011.8,80,29.9,6.5,7.2,0
22.2,25,15,1009.9,66,27.5,7.2,7.2,0
20.8,25.2,13.2,1009.8,71,29.9,6.3,7.2,0
20.6,24.2,15,1010.6,71,29.9,6.5,7.2,0
19.3,25,13,1012.4,77,24.1,7.2,14.4,0
19.8,23.8,14.6,1012.5,79,23,6.3,7.2,0
21.1,25.2,16.5,1010.4,76,29.9,5,7.2,0
21.7,26.4,14.2,1009.8,64,29.9,6.5,7.2,0
23.5,26.6,14.8,1008.6,56,29.9,7.2,7.2,0
20.9,25.6,15.2,1010,66,29,9.4,21.7,0
23.2,27,15,1008.5,59,29.9,9.1,14.4,0
21.6,24.4,16.2,1010.3,74,29.9,6.5,7.2,0
23.7,26.2,15.6,1008.5,56,29.9,7.2,7.2,0
24.4,27.4,15.2,1007.3,49,29.9,10.7,14.4,0
23.1,26,16.8,1008.8,64,29.9,9.1,14.4,0
22,24.6,16.1,1009.5,68,29.9,6.3,7.2,0
22.1,25.8,16.4,1007.9,64,29.9,8.1,14.4,0
23.8,25.8,16.8,1007.2,57,29.9,7.2,7.2,0
21.4,26.6,13.4,1011.3,60,29.9,6.3,7.2,0
24.2,26.4,13.2,1007,43,29.9,7.2,7.2,0
23.9,26.4,13.5,1006.8,42,29.9,7.2,7.2,0
23.2,25.4,13,1010.3,53,29.9,6.3,7.2,0
21.3,24,13.8,1011.9,66,27.5,7.2,7.2,0
22.5,25.6,13,1010.5,64,29.9,7.2,7.2,0
21.8,24,10.6,1010.6,58,29.9,6.3,7.2,0
21.6,25.4,11.6,1011.5,58,29.9,7.2,7.2,0
22.9,25.4,12.5,1010.6,60,29.9,7.2,7.2,0
21.1,24.4,14.2,1011.3,66,29.9,6.5,7.2,0
