T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
18.4,25.4,7.7,1013.9,53.0,28.8,6.3,7.2,0.0
21.3,27.6,9.5,1010.7,39.0,29.9,6.3,10.7,0.0
21.7,26.4,7.5,1010.5,43.0,29.9,6.5,7.2,0.0
18.9,23.8,9.6,1012.3,46.0,21.2,5.4,7.2,0.0
20.1,25.0,8.5,1011.4,48.0,22.5,6.3,7.2,0.0
21.3,27.6,7.5,1011.1,40.0,29.9,5.7,7.2,0.0
23.1,28.4,8.5,1006.6,31.0,29.9,7.2,10.7,0.0
21.8,28.2,6.8,1007.5,36.0,29.9,5.0,7.2,0.0
21.3,29.0,9.6,1007.1,37.0,29.9,6.3,7.2,0.0
23.2,28.6,9.5,1007.9,32.0,29.9,7.2,10.7,0.0
25.0,30.2,10.5,1004.9,26.0,29.9,7.2,10.7,0.0
23.9,29.2,8.2,1007.8,30.0,29.9,5.7,7.2,0.0
24.5,31.0,9.5,1007.6,29.0,29.9,6.5,10.7,0.0
24.7,30.4,12.0,1007.6,30.0,29.9,6.5,7.2,0.0
26.2,31.0,16.0,1006.3,37.0,29.9,7.2,10.7,0.0
24.6,29.6,14.0,1008.4,39.0,29.9,8.0,14.4,0.0
24.9,29.4,15.0,1007.5,37.0,28.0,6.5,7.2,0.0
23.9,27.2,17.5,1008.0,46.0,29.9,5.0,7.2,0.0
23.7,27.6,18.4,1008.2,47.0,29.9,5.4,7.2,0.0
24.7,29.0,19.0,1008.0,39.0,29.9,5.7,7.2,0.0
24.2,28.4,15.6,1005.7,31.0,29.0,5.7,7.2,0.0
22.9,26.6,12.3,1005.9,33.0,29.9,5.0,7.2,0.0
24.2,29.5,11.0,1005.8,26.0,29.9,6.5,7.2,0.0
27.4,30.4,13.5,1005.1,31.0,29.9,7.2,7.2,0.0
24.2,29.0,15.0,1007.1,41.0,29.9,5.7,7.2,0.0
26.1,31.2,12.7,1006.2,32.0,29.9,6.5,7.2,0.0
24.1,28.4,13.0,1007.8,33.0,20.0,5.0,7.2,0.0
23.6,27.4,13.7,1007.8,36.0,26.1,7.2,10.7,0.0
23.3,26.0,16.0,1007.4,48.0,29.9,6.3,10.7,0.0
23.6,28.1,13.5,1009.5,40.0,29.9,6.5,10.7,0.0
24.1,28.6,13.0,1009.0,42.0,29.9,6.5,7.2,0.0
24.9,29.2,17.6,1007.8,42.0,29.9,5.0,7.2,0.0
22.3,27.2,17.2,1010.3,66.0,26.1,7.2,10.7,0.0
23.2,26.8,16.0,1008.8,62.0,27.5,7.2,7.2,0.0
23.7,28.2,16.2,1008.1,59.0,29.9,5.7,7.2,0.0
23.4,28.0,15.2,1008.3,56.0,28.0,5.7,7.2,0.0
23.2,25.4,15.5,1009.2,62.0,29.9,8.1,10.7,0.0
23.4,27.8,16.5,1009.1,57.0,28.0,5.0,7.2,0.0
24.0,28.4,17.7,1007.4,53.0,26.1,6.5,7.2,0.0
24.9,29.2,16.7,1006.4,52.0,28.0,5.7,7.2,0.0
23.3,27.0,16.5,1007.8,53.0,29.9,6.5,7.2,0.0
23.7,28.6,17.0,1008.3,51.0,29.9,6.5,7.2,0.0
24.1,28.0,16.0,1007.3,52.0,29.9,5.7,7.2,0.0
26.4,29.6,15.2,1004.4,48.0,29.9,8.1,10.7,0.0
20.8,27.2,14.7,1011.0,49.0,24.9,6.3,10.7,0.0
21.1,23.4,15.7,1010.9,66.0,27.5,5.4,7.2,0.0
20.7,24.0,16.7,1010.7,67.0,29.9,7.2,14.4,0.0
22.3,25.0,15.2,1007.6,50.0,29.9,6.5,10.7,0.0
21.2,25.2,17.0,1008.2,64.0,27.5,6.3,7.2,0.0
21.4,24.0,15.7,1011.1,63.0,26.2,5.4,7.2,0.0
20.7,23.6,15.5,1011.6,72.0,29.9,5.7,7.2,0.0
20.2,23.0,16.0,1011.0,77.0,29.9,4.4,7.2,0.0
20.6,25.2,15.5,1011.0,67.0,27.5,5.4,7.2,0.0
21.1,25.4,14.5,1010.5,67.0,28.0,5.7,7.2,0.0
19.7,22.6,14.4,1010.4,76.0,29.9,5.7,7.2,0.0
20.3,23.2,15.2,1010.3,72.0,28.0,5.7,7.2,0.0
21.2,25.2,16.0,1010.5,67.0,26.1,6.5,7.2,0.0
18.9,20.4,15.6,1012.5,81.0,24.0,6.5,7.2,0.0
21.2,24.2,13.7,1010.2,67.0,27.5,6.3,7.2,0.0
18.5,22.2,13.5,1012.2,79.0,28.0,5.7,7.2,0.0
19.9,22.6,14.7,1010.9,76.0,27.5,7.2,7.2,0.0
18.9,22.8,14.5,1013.0,81.0,22.0,5.7,10.7,0.0
20.3,24.0,14.8,1009.6,78.0,28.0,6.5,7.2,0.0
19.8,22.6,14.8,1009.6,79.0,28.0,7.2,10.7,0.0
21.4,23.0,14.0,1010.2,72.0,29.9,10.7,21.7,0.0
19.3,23.2,14.5,1011.9,78.0,29.9,6.5,7.2,0.0
19.1,21.4,13.6,1013.0,82.0,24.9,6.5,7.2,0.0
20.5,24.8,14.5,1011.9,69.0,29.9,6.5,7.2,0.0
18.0,21.2,15.0,1013.8,82.0,20.9,6.5,7.2,0.0
19.7,21.2,14.0,1013.3,73.0,29.9,7.2,7.2,0.0
17.3,19.6,14.7,1014.4,88.0,22.0,6.5,7.2,0.0
19.4,24.0,13.2,1011.0,79.0,23.0,7.2,7.2,0.0
19.2,21.0,14.6,1011.9,83.0,27.0,5.7,7.2,0.0
18.7,21.4,14.6,1011.5,83.0,29.9,6.3,7.2,0.0
20.2,23.0,15.6,1009.6,79.0,29.9,5.4,7.2,0.0
21.2,23.0,14.7,1008.4,69.0,29.9,7.2,7.2,0.0
18.8,21.6,14.4,1011.9,80.0,26.1,7.2,7.2,0.0
19.8,23.4,14.6,1011.6,74.0,29.9,6.5,7.2,0.0
20.1,22.0,13.6,1010.9,76.0,27.5,7.2,7.2,0.0
20.1,24.0,13.5,1010.7,69.0,26.1,5.7,7.2,0.0
20.1,23.8,13.2,1010.6,75.0,28.0,7.2,7.2,0.0
17.4,20.8,14.6,1014.3,89.0,24.9,7.2,7.2,0.0
20.6,24.2,12.5,1009.5,71.0,24.9,7.2,7.2,0.0
18.4,21.6,14.6,1013.6,82.0,26.1,6.5,7.2,0.0
19.6,23.6,13.2,1011.3,77.0,29.9,5.0,7.2,0.0
21.4,25.6,15.8,1010.0,70.0,29.9,7.2,7.2,0.0
22.8,25.4,19.8,1008.2,65.0,27.5,7.2,7.2,0.0
21.1,25.6,14.5,1009.5,66.0,29.9,7.2,7.2,0.0
21.8,25.2,14.6,1010.5,66.0,29.9,6.3,7.2,0.0
21.2,25.4,15.2,1011.8,66.0,29.9,7.2,7.2,0.0
19.4,23.8,14.6,1012.1,73.0,26.1,6.5,7.2,0.0
19.9,24.4,15.0,1010.5,72.0,25.6,7.2,7.2,0.0
19.7,23.2,14.4,1011.4,78.0,29.9,6.5,7.2,0.0
19.3,24.2,13.0,1011.8,77.0,28.0,7.2,7.2,0.0
21.8,23.8,12.0,1010.2,73.0,29.9,7.2,7.2,0.0
22.9,25.2,14.5,1010.0,69.0,29.9,7.2,7.2,0.0
23.1,25.6,13.4,1009.7,69.0,29.9,7.2,7.2,0.0
21.7,25.2,14.8,1009.8,60.0,29.9,7.2,7.2,0.0
21.7,25.0,13.7,1008.9,55.0,29.9,8.1,10.7,0.0
20.4,25.2,14.0,1010.1,63.0,29.9,6.3,7.2,0.0
21.9,26.2,11.0,1010.7,50.0,29.9,7.2,10.7,0.0
22.2,26.0,14.2,1009.9,50.0,29.9,7.2,7.2,0.0
23.9,25.8,12.4,1007.3,49.0,29.9,8.1,10.7,0.0
21.7,25.8,11.0,1008.9,47.0,29.9,7.2,7.2,0.0
23.7,26.2,16.4,1006.4,54.0,29.9,8.1,10.7,0.0
22.3,25.6,15.6,1007.6,63.0,29.9,6.5,7.2,0.0
22.7,24.8,11.4,1007.0,48.0,29.9,6.3,7.2,0.0
21.3,26.2,11.0,1007.0,51.0,29.9,6.5,7.2,0.0
22.9,25.0,12.2,1007.5,44.0,29.9,6.3,7.2,0.0
21.1,25.2,10.0,1009.9,48.0,29.9,8.1,10.7,0.0
20.9,28.0,12.0,1011.4,38.0,29.9,6.5,10.7,0.0
19.6,25.2,9.5,1011.7,33.0,29.9,8.1,10.7,0.0
22.0,24.6,6.6,1010.1,28.0,29.9,7.2,7.2,0.0
19.6,24.8,6.0,1010.9,39.0,29.9,6.5,7.2,0.0
17.5,22.8,6.5,1013.4,59.0,29.9,9.1,10.7,0.0
19.9,23.8,8.0,1011.9,56.0,29.9,7.2,7.2,0.0
20.1,23.6,10.2,1009.7,55.0,29.9,6.5,7.2,0.0
19.8,25.8,8.0,1013.7,35.0,29.9,7.2,10.7,0.0
20.1,24.4,7.0,1011.5,44.0,29.9,7.2,7.2,0.0
20.2,24.6,7.2,1011.4,46.0,29.9,7.2,7.2,0.0
21.8,25.2,7.0,1010.9,37.0,29.9,7.2,7.2,0.0
20.1,25.0,6.2,1011.6,38.0,29.9,7.2,7.2,0.0
21.8,25.2,6.2,1009.7,41.0,29.9,6.3,7.2,0.0
21.6,24.0,6.6,1009.5,40.0,29.9,5.4,7.2,0.0
18.8,25.0,6.0,1012.0,45.0,29.9,6.3,7.2,0.0
18.8,25.2,8.0,1011.1,47.0,29.9,5.4,7.2,0.0
20.8,24.6,11.0,1009.8,47.0,29.9,6.5,7.2,0.0
20.0,24.8,11.4,1010.9,51.0,29.9,6.3,7.2,0.0
20.4,25.2,10.6,1010.9,48.0,29.9,6.3,7.2,0.0
21.6,26.0,11.0,1012.2,45.0,29.9,7.2,7.2,0.0
20.3,26.0,9.0,1014.2,45.0,29.9,7.2,7.2,0.0
21.4,25.6,7.8,1011.6,38.0,29.9,6.5,7.2,0.0
21.8,26.6,7.6,1010.5,37.0,29.9,7.2,7.2,0.0
24.2,27.0,8.0,1008.4,36.0,29.9,7.2,7.2,0.0
22.8,25.0,7.5,1006.8,30.0,29.9,8.1,10.7,0.0
19.7,25.4,6.4,1009.9,33.0,29.9,7.2,7.2,0.0
21.7,26.4,7.0,1007.6,32.0,29.9,8.1,10.7,0.0
21.2,26.4,7.8,1008.2,35.0,29.9,6.5,10.7,0.0
22.7,28.4,8.5,1007.5,28.0,29.9,6.1,7.2,0.0
19.0,23.6,4.2,1010.2,40.0,29.9,7.2,7.2,0.0
18.6,25.8,3.2,1009.6,33.0,29.9,7.2,7.2,0.0
18.1,23.0,8.2,1010.4,40.0,29.9,7.2,7.2,0.0
19.7,26.0,8.0,1009.8,47.0,29.9,7.2,7.2,0.0
20.5,25.8,10.5,1009.4,53.0,28.0,7.2,7.2,0.0
21.6,26.2,11.2,1009.3,46.0,29.9,6.5,7.2,0.0
21.7,29.2,8.5,1006.6,37.0,29.9,7.2,7.2,0.0
23.9,28.2,15.0,1007.3,41.0,29.9,9.1,14.4,0.0
24.8,27.4,16.4,1006.3,42.0,29.9,7.2,7.2,0.0
23.7,28.8,17.0,1006.8,47.0,29.9,7.2,7.2,0.0
23.2,28.0,16.2,1007.7,50.0,29.9,6.3,7.2,0.0
23.4,27.8,16.0,1008.7,47.0,29.9,9.1,14.4,0.0
25.2,27.2,19.8,1005.0,29.0,29.9,8.1,10.7,0.0
25.8,28.0,20.4,1004.5,27.0,29.9,8.1,10.7,0.0
23.7,28.2,7.6,1007.0,21.0,29.9,6.5,7.2,0.0
23.7,28.6,10.0,1007.2,27.0,29.9,5.7,10.7,0.0
24.8,28.0,15.7,1009.5,37.0,29.9,8.0,14.4,0.0
