T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
18.4,25.4,7.7,1013.9,53,28.8,6.3,7.2,0
21.3,27.6,9.5,1010.7,39,29.9,6.3,10.7,0
21.7,26.4,7.5,1010.5,43,29.9,6.5,7.2,0
18.9,23.8,9.6,1012.3,46,21.2,5.4,7.2,0
20.1,25,8.5,1011.4,48,22.5,6.3,7.2,0
21.3,27.6,7.5,1011.1,40,29.9,5.7,7.2,0
23.1,28.4,8.5,1006.6,31,29.9,7.2,10.7,0
21.8,28.2,6.8,1007.5,36,29.9,5,7.2,0
21.3,29,9.6,1007.1,37,29.9,6.3,7.2,0
23.2,28.6,9.5,1007.9,32,29.9,7.2,10.7,0
25,30.2,10.5,1004.9,26,29.9,7.2,10.7,0
23.9,29.2,8.2,1007.8,30,29.9,5.7,7.2,0
24.5,31,9.5,1007.6,29,29.9,6.5,10.7,0
24.7,30.4,12,1007.6,30,29.9,6.5,7.2,0
26.2,31,16,1006.3,37,29.9,7.2,10.7,0
24.6,29.6,14,1008.4,39,29.9,8,14.4,0
24.9,29.4,15,1007.5,37,28,6.5,7.2,0
23.9,27.2,17.5,1008,46,29.9,5,7.2,0
23.7,27.6,18.4,1008.2,47,29.9,5.4,7.2,0
24.7,29,19,1008,39,29.9,5.7,7.2,0
24.2,28.4,15.6,1005.7,31,29,5.7,7.2,0
22.9,26.6,12.3,1005.9,33,29.9,5,7.2,0
24.2,29.5,11,1005.8,26,29.9,6.5,7.2,0
27.4,30.4,13.5,1005.1,31,29.9,7.2,7.2,0
24.2,29,15,1007.1,41,29.9,5.7,7.2,0
26.1,31.2,12.7,1006.2,32,29.9,6.5,7.2,0
24.1,28.4,13,1007.8,33,20,5,7.2,0
23.6,27.4,13.7,1007.8,36,26.1,7.2,10.7,0
23.3,26,16,1007.4,48,29.9,6.3,10.7,0
23.6,28.1,13.5,1009.5,40,29.9,6.5,10.7,0
24.1,28.6,13,1009,42,29.9,6.5,7.2,0
24.9,29.2,17.6,1007.8,42,29.9,5,7.2,0
22.3,27.2,17.2,1010.3,66,26.1,7.2,10.7,0
23.2,26.8,16,1008.8,62,27.5,7.2,7.2,0
23.7,28.2,16.2,1008.1,59,29.9,5.7,7.2,0
23.4,28,15.2,1008.3,56,28,5.7,7.2,0
23.2,25.4,15.5,1009.2,62,29.9,8.1,10.7,0
23.4,27.8,16.5,1009.1,57,28,5,7.2,0
24,28.4,17.7,1007.4,53,26.1,6.5,7.2,0
24.9,29.2,16.7,1006.4,52,28,5.7,7.2,0
23.3,27,16.5,1007.8,53,29.9,6.5,7.2,0
23.7,28.6,17,1008.3,51,29.9,6.5,7.2,0
24.1,28,16,1007.3,52,29.9,5.7,7.2,0
26.4,29.6,15.2,1004.4,48,29.9,8.1,10.7,0
20.8,27.2,14.7,1011,49,24.9,6.3,10.7,0
21.1,23.4,15.7,1010.9,66,27.5,5.4,7.2,0
20.7,24,16.7,1010.7,67,29.9,7.2,14.4,0
22.3,25,15.2,1007.6,50,29.9,6.5,10.7,0
21.2,25.2,17,1008.2,64,27.5,6.3,7.2,0
21.4,24,15.7,1011.1,63,26.2,5.4,7.2,0
20.7,23.6,15.5,1011.6,72,29.9,5.7,7.2,0
20.2,23,16,1011,77,29.9,4.4,7.2,0
20.6,25.2,15.5,1011,67,27.5,5.4,7.2,0
21.1,25.4,14.5,1010.5,67,28,5.7,7.2,0
19.7,22.6,14.4,1010.4,76,29.9,5.7,7.2,0
20.3,23.2,15.2,1010.3,72,28,5.7,7.2,0
21.2,25.2,16,1010.5,67,26.1,6.5,7.2,0
18.9,20.4,15.6,1012.5,81,24,6.5,7.2,0
21.2,24.2,13.7,1010.2,67,27.5,6.3,7.2,0
18.5,22.2,13.5,1012.2,79,28,5.7,7.2,0
19.9,22.6,14.7,1010.9,76,27.5,7.2,7.2,0
18.9,22.8,14.5,1013,81,22,5.7,10.7,0
20.3,24,14.8,1009.6,78,28,6.5,7.2,0
19.8,22.6,14.8,1009.6,79,28,7.2,10.7,0
21.4,23,14,1010.2,72,29.9,10.7,21.7,0
19.3,23.2,14.5,1011.9,78,29.9,6.5,7.2,0
19.1,21.4,13.6,1013,82,24.9,6.5,7.2,0
20.5,24.8,14.5,1011.9,69,29.9,6.5,7.2,0
18,21.2,15,1013.8,82,20.9,6.5,7.2,0
19.7,21.2,14,1013.3,73,29.9,7.2,7.2,0
17.3,19.6,14.7,1014.4,88,22,6.5,7.2,0
19.4,24,13.2,1011,79,23,7.2,7.2,0
19.2,21,14.6,1011.9,83,27,5.7,7.2,0
18.7,21.4,14.6,1011.5,83,29.9,6.3,7.2,0
20.2,23,15.6,1009.6,79,29.9,5.4,7.2,0
21.2,23,14.7,1008.4,69,29.9,7.2,7.2,0
18.8,21.6,14.4,1011.9,80,26.1,7.2,7.2,0
19.8,23.4,14.6,1011.6,74,29.9,6.5,7.2,0
20.1,22,13.6,1010.9,76,27.5,7.2,7.2,0
20.1,24,13.5,1010.7,69,26.1,5.7,7.2,0
20.1,23.8,13.2,1010.6,75,28,7.2,7.2,0
17.4,20.8,14.6,1014.3,89,24.9,7.2,7.2,0
20.6,24.2,12.5,1009.5,71,24.9,7.2,7.2,0
18.4,21.6,14.6,1013.6,82,26.1,6.5,7.2,0
19.6,23.6,13.2,1011.3,77,29.9,5,7.2,0
21.4,25.6,15.8,1010,70,29.9,7.2,7.2,0
22.8,25.4,19.8,1008.2,65,27.5,7.2,7.2,0
21.1,25.6,14.5,1009.5,66,29.9,7.2,7.2,0
21.8,25.2,14.6,1010.5,66,29.9,6.3,7.2,0
21.2,25.4,15.2,1011.8,66,29.9,7.2,7.2,0
19.4,23.8,14.6,1012.1,73,26.1,6.5,7.2,0
19.9,24.4,15,1010.5,72,25.6,7.2,7.2,0
19.7,23.2,14.4,1011.4,78,29.9,6.5,7.2,0
19.3,24.2,13,1011.8,77,28,7.2,7.2,0
21.8,23.8,12,1010.2,73,29.9,7.2,7.2,0
22.9,25.2,14.5,1010,69,29.9,7.2,7.2,0
23.1,25.6,13.4,1009.7,69,29.9,7.2,7.2,0
21.7,25.2,14.8,1009.8,60,29.9,7.2,7.2,0
21.7,25,13.7,1008.9,55,29.9,8.1,10.7,0
20.4,25.2,14,1010.1,63,29.9,6.3,7.2,0
21.9,26.2,11,1010.7,50,29.9,7.2,10.7,0
22.2,26,14.2,1009.9,50,29.9,7.2,7.2,0
23.9,25.8,12.4,1007.3,49,29.9,8.1,10.7,0
21.7,25.8,11,1008.9,47,29.9,7.2,7.2,0
23.7,26.2,16.4,1006.4,54,29.9,8.1,10.7,0
22.3,25.6,15.6,1007.6,63,29.9,6.5,7.2,0
22.7,24.8,11.4,1007,48,29.9,6.3,7.2,0
21.3,26.2,11,1007,51,29.9,6.5,7.2,0
22.9,25,12.2,1007.5,44,29.9,6.3,7.2,0
21.1,25.2,10,1009.9,48,29.9,8.1,10.7,0
20.9,28,12,1011.4,38,29.9,6.5,10.7,0
19.6,25.2,9.5,1011.7,33,29.9,8.1,10.7,0
22,24.6,6.6,1010.1,28,29.9,7.2,7.2,0
19.6,24.8,6,1010.9,39,29.9,6.5,7.2,0
17.5,22.8,6.5,1013.4,59,29.9,9.1,10.7,0
19.9,23.8,8,1011.9,56,29.9,7.2,7.2,0
20.1,23.6,10.2,1009.7,55,29.9,6.5,7.2,0
19.8,25.8,8,1013.7,35,29.9,7.2,10.7,0
20.1,24.4,7,1011.5,44,29.9,7.2,7.2,0
20.2,24.6,7.2,1011.4,46,29.9,7.2,7.2,0
21.8,25.2,7,1010.9,37,29.9,7.2,7.2,0
20.1,25,6.2,1011.6,38,29.9,7.2,7.2,0
21.8,25.2,6.2,1009.7,41,29.9,6.3,7.2,0
